filename,plate,well,site,channel,timepoint,compound,dose,control,subdir_folder,zslice
D-08_F0002_T0073_Z0001_C04,1,D-08,2,CL561,T0073,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-06_F0001_T0079_Z0001_C01,1,D-06,1,Hoechst,T0079,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0002_T0127_Z0001_C04,1,E-07,2,CL561,T0127,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-07_F0002_T0085_Z0001_C03,1,C-07,2,CL488-2,T0085,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-06_F0002_T0139_Z0001_C03,1,D-06,2,CL488-2,T0139,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0001_T0067_Z0001_C02,1,E-07,1,CL488,T0067,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-07_F0001_T0049_Z0001_C04,1,C-07,1,CL561,T0049,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-05_F0001_T0097_Z0001_C02,1,D-05,1,CL488,T0097,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-06_F0002_T0085_Z0001_C02,1,E-06,2,CL488,T0085,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0002_T0037_Z0001_C04,1,D-08,2,CL561,T0037,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0002_T0139_Z0001_C01,1,D-08,2,Hoechst,T0139,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-05_F0002_T0097_Z0001_C01,1,D-05,2,Hoechst,T0097,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0001_T0139_Z0001_C02,1,D-08,1,CL488,T0139,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-05_F0001_T0001_Z0001_C01,1,D-05,1,Hoechst,T0001,Staurosporine,0.0,negative,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-07_F0002_T0049_Z0001_C03,1,C-07,2,CL488-2,T0049,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-06_F0001_T0085_Z0001_C03,1,E-06,1,CL488-2,T0085,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0002_T0109_Z0001_C03,1,E-08,2,CL488-2,T0109,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-08_F0001_T0067_Z0001_C03,1,C-08,1,CL488-2,T0067,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-05_F0001_T0067_Z0001_C04,1,E-05,1,CL561,T0067,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-08_F0002_T0067_Z0001_C02,1,C-08,2,CL488,T0067,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0001_T0049_Z0001_C01,1,E-08,1,Hoechst,T0049,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0001_T0109_Z0001_C04,1,E-08,1,CL561,T0109,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-05_F0002_T0067_Z0001_C03,1,E-05,2,CL488-2,T0067,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-06_F0002_T0139_Z0001_C04,1,C-06,2,CL561,T0139,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-06_F0002_T0079_Z0001_C01,1,C-06,2,Hoechst,T0079,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0002_T0055_Z0001_C03,1,E-08,2,CL488-2,T0055,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-07_F0001_T0067_Z0001_C03,1,D-07,1,CL488-2,T0067,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0001_T0055_Z0001_C04,1,E-08,1,CL561,T0055,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-06_F0001_T0079_Z0001_C02,1,C-06,1,CL488,T0079,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-07_F0002_T0067_Z0001_C02,1,D-07,2,CL488,T0067,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0001_T0139_Z0001_C02,1,E-07,1,CL488,T0139,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-06_F0002_T0049_Z0001_C03,1,D-06,2,CL488-2,T0049,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0001_T0085_Z0001_C02,1,D-08,1,CL488,T0085,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-06_F0001_T0049_Z0001_C04,1,D-06,1,CL561,T0049,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0002_T0037_Z0001_C04,1,E-07,2,CL561,T0037,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0002_T0085_Z0001_C01,1,D-08,2,Hoechst,T0085,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0002_T0139_Z0001_C01,1,E-07,2,Hoechst,T0139,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0002_T0145_Z0001_C04,1,D-08,2,CL561,T0145,Staurosporine,41.2,positive,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-07_F0001_T0097_Z0001_C01,1,C-07,1,Hoechst,T0097,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0001_T0049_Z0001_C02,1,D-08,1,CL488,T0049,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0002_T0091_Z0001_C03,1,E-08,2,CL488-2,T0091,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-05_F0002_T0067_Z0001_C04,1,D-05,2,CL561,T0067,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0001_T0091_Z0001_C04,1,E-08,1,CL561,T0091,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0002_T0049_Z0001_C01,1,D-08,2,Hoechst,T0049,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0002_T0109_Z0001_C04,1,D-08,2,CL561,T0109,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0001_T0019_Z0001_C04,1,E-08,1,CL561,T0019,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-08_F0002_T0139_Z0001_C02,1,C-08,2,CL488,T0139,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-05_F0002_T0001_Z0001_C01,1,C-05,2,Hoechst,T0001,Staurosporine,0.0,negative,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-06_F0002_T0085_Z0001_C03,1,D-06,2,CL488-2,T0085,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-05_F0002_T0139_Z0001_C03,1,E-05,2,CL488-2,T0139,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-05_F0001_T0097_Z0001_C03,1,C-05,1,CL488-2,T0097,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0002_T0019_Z0001_C03,1,E-08,2,CL488-2,T0019,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-05_F0001_T0139_Z0001_C04,1,E-05,1,CL561,T0139,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-06_F0001_T0085_Z0001_C04,1,D-06,1,CL561,T0085,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0002_T0073_Z0001_C04,1,E-07,2,CL561,T0073,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-05_F0001_T0079_Z0001_C01,1,E-05,1,Hoechst,T0079,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-05_F0002_T0097_Z0001_C02,1,C-05,2,CL488,T0097,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-05_F0001_T0001_Z0001_C02,1,C-05,1,CL488,T0001,Staurosporine,0.0,negative,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-08_F0001_T0139_Z0001_C03,1,C-08,1,CL488-2,T0139,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-06_F0001_T0001_Z0001_C01,1,C-06,1,Hoechst,T0001,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-06_F0002_T0097_Z0001_C01,1,C-06,2,Hoechst,T0097,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-06_F0001_T0139_Z0001_C03,1,E-06,1,CL488-2,T0139,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-05_F0002_T0049_Z0001_C04,1,D-05,2,CL561,T0049,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-07_F0001_T0085_Z0001_C03,1,D-07,1,CL488-2,T0085,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0002_T0073_Z0001_C03,1,E-08,2,CL488-2,T0073,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0001_T0073_Z0001_C04,1,E-08,1,CL561,T0073,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-07_F0002_T0085_Z0001_C02,1,D-07,2,CL488,T0085,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-06_F0002_T0139_Z0001_C02,1,E-06,2,CL488,T0139,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-06_F0001_T0097_Z0001_C02,1,C-06,1,CL488,T0097,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-05_F0001_T0079_Z0001_C03,1,C-05,1,CL488-2,T0079,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-06_F0002_T0067_Z0001_C03,1,D-06,2,CL488-2,T0067,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0002_T0055_Z0001_C04,1,E-07,2,CL561,T0055,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-06_F0001_T0067_Z0001_C04,1,D-06,1,CL561,T0067,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-05_F0002_T0079_Z0001_C02,1,C-05,2,CL488,T0079,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-07_F0002_T0139_Z0001_C03,1,C-07,2,CL488-2,T0139,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-05_F0002_T0085_Z0001_C04,1,D-05,2,CL561,T0085,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0001_T0067_Z0001_C02,1,D-08,1,CL488,T0067,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0002_T0019_Z0001_C04,1,E-07,2,CL561,T0019,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0002_T0127_Z0001_C04,1,D-08,2,CL561,T0127,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-07_F0001_T0079_Z0001_C01,1,C-07,1,Hoechst,T0079,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0002_T0067_Z0001_C01,1,D-08,2,Hoechst,T0067,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-07_F0001_T0139_Z0001_C04,1,C-07,1,CL561,T0139,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0001_T0037_Z0001_C04,1,E-08,1,CL561,T0037,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0001_T0139_Z0001_C01,1,E-08,1,Hoechst,T0139,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-07_F0002_T0049_Z0001_C02,1,D-07,2,CL488,T0049,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-07_F0001_T0049_Z0001_C03,1,D-07,1,CL488-2,T0049,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0002_T0091_Z0001_C04,1,E-07,2,CL561,T0091,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-05_F0001_T0097_Z0001_C01,1,E-05,1,Hoechst,T0097,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0002_T0037_Z0001_C03,1,E-08,2,CL488-2,T0037,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-06_F0002_T0001_Z0001_C03,1,C-06,2,CL488-2,T0001,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-06_F0002_T0079_Z0001_C02,1,E-06,2,CL488,T0079,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-06_F0001_T0079_Z0001_C03,1,E-06,1,CL488-2,T0079,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-06_F0001_T0103_Z0001_C01,1,C-06,1,Hoechst,T0103,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-06_F0002_T0097_Z0001_C04,1,C-06,2,CL561,T0097,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-06_F0001_T0001_Z0001_C04,1,C-06,1,CL561,T0001,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0002_T0097_Z0001_C01,1,E-07,2,Hoechst,T0097,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0001_T0001_Z0001_C01,1,E-07,1,Hoechst,T0001,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0001_T0097_Z0001_C02,1,E-07,1,CL488,T0097,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0002_T0067_Z0001_C04,1,D-08,2,CL561,T0067,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-07_F0001_T0079_Z0001_C04,1,C-07,1,CL561,T0079,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-07_F0002_T0079_Z0001_C03,1,C-07,2,CL488-2,T0079,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-05_F0001_T0031_Z0001_C01,1,D-05,1,Hoechst,T0031,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-05_F0001_T0097_Z0001_C04,1,E-05,1,CL561,T0097,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-08_F0002_T0001_Z0001_C01,1,C-08,2,Hoechst,T0001,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-05_F0001_T0121_Z0001_C02,1,C-05,1,CL488,T0121,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-08_F0001_T0097_Z0001_C03,1,C-08,1,CL488-2,T0097,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-05_F0002_T0001_Z0001_C02,1,E-05,2,CL488,T0001,Staurosporine,0.0,negative,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0002_T0139_Z0001_C03,1,E-08,2,CL488-2,T0139,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0001_T0079_Z0001_C01,1,E-08,1,Hoechst,T0079,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-05_F0002_T0097_Z0001_C03,1,E-05,2,CL488-2,T0097,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-05_F0002_T0121_Z0001_C01,1,C-05,2,Hoechst,T0121,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-05_F0001_T0001_Z0001_C03,1,E-05,1,CL488-2,T0001,Staurosporine,0.0,negative,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0001_T0139_Z0001_C04,1,E-08,1,CL561,T0139,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-08_F0002_T0097_Z0001_C02,1,C-08,2,CL488,T0097,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-08_F0001_T0001_Z0001_C02,1,C-08,1,CL488,T0001,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-06_F0002_T0097_Z0001_C02,1,E-06,2,CL488,T0097,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-06_F0001_T0001_Z0001_C02,1,E-06,1,CL488,T0001,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0002_T0049_Z0001_C04,1,D-08,2,CL561,T0049,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-06_F0001_T0097_Z0001_C03,1,E-06,1,CL488-2,T0097,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-06_F0001_T0121_Z0001_C01,1,C-06,1,Hoechst,T0121,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-05_F0001_T0013_Z0001_C01,1,D-05,1,Hoechst,T0013,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-06_F0002_T0001_Z0001_C01,1,E-06,2,Hoechst,T0001,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-05_F0001_T0079_Z0001_C04,1,E-05,1,CL561,T0079,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-05_F0001_T0103_Z0001_C02,1,C-05,1,CL488,T0103,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-08_F0001_T0079_Z0001_C03,1,C-08,1,CL488-2,T0079,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-05_F0002_T0079_Z0001_C03,1,E-05,2,CL488-2,T0079,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-05_F0002_T0103_Z0001_C01,1,C-05,2,Hoechst,T0103,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-05_F0002_T0001_Z0001_C04,1,C-05,2,CL561,T0001,Staurosporine,0.0,negative,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-08_F0002_T0079_Z0001_C02,1,C-08,2,CL488,T0079,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-07_F0002_T0001_Z0001_C02,1,C-07,2,CL488,T0001,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0002_T0079_Z0001_C01,1,E-07,2,Hoechst,T0079,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-07_F0001_T0097_Z0001_C04,1,C-07,1,CL561,T0097,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0002_T0085_Z0001_C04,1,D-08,2,CL561,T0085,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0002_T0139_Z0001_C04,1,E-07,2,CL561,T0139,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0001_T0079_Z0001_C02,1,E-07,1,CL488,T0079,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-07_F0002_T0097_Z0001_C03,1,C-07,2,CL488-2,T0097,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-07_F0001_T0001_Z0001_C03,1,C-07,1,CL488-2,T0001,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-06_F0002_T0079_Z0001_C04,1,C-06,2,CL561,T0079,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0001_T0097_Z0001_C01,1,E-08,1,Hoechst,T0097,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-05_F0002_T0079_Z0001_C04,1,D-05,2,CL561,T0079,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-06_F0001_T0031_Z0001_C01,1,C-06,1,Hoechst,T0031,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-06_F0001_T0001_Z0001_C03,1,D-06,1,CL488-2,T0001,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-06_F0002_T0097_Z0001_C03,1,D-06,2,CL488-2,T0097,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-05_F0002_T0013_Z0001_C01,1,C-05,2,Hoechst,T0013,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-05_F0001_T0013_Z0001_C02,1,C-05,1,CL488,T0013,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-06_F0002_T0001_Z0001_C02,1,D-06,2,CL488,T0001,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-06_F0001_T0097_Z0001_C04,1,D-06,1,CL561,T0097,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0002_T0085_Z0001_C04,1,E-07,2,CL561,T0085,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0001_T0097_Z0001_C02,1,D-08,1,CL488,T0097,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-05_F0001_T0121_Z0001_C01,1,D-05,1,Hoechst,T0121,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0001_T0001_Z0001_C01,1,D-08,1,Hoechst,T0001,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0002_T0097_Z0001_C01,1,D-08,2,Hoechst,T0097,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0002_T0049_Z0001_C04,1,E-07,2,CL561,T0049,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-07_F0002_T0079_Z0001_C02,1,D-07,2,CL488,T0079,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0001_T0067_Z0001_C04,1,E-08,1,CL561,T0067,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0002_T0067_Z0001_C03,1,E-08,2,CL488-2,T0067,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-07_F0001_T0079_Z0001_C03,1,D-07,1,CL488-2,T0079,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0001_T0079_Z0001_C02,1,D-08,1,CL488,T0079,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-05_F0001_T0001_Z0001_C04,1,D-05,1,CL561,T0001,Staurosporine,0.0,negative,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-05_F0002_T0097_Z0001_C04,1,D-05,2,CL561,T0097,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-05_F0001_T0103_Z0001_C01,1,D-05,1,Hoechst,T0103,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0002_T0079_Z0001_C01,1,D-08,2,Hoechst,T0079,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-05_F0002_T0001_Z0001_C03,1,D-05,2,CL488-2,T0001,Staurosporine,0.0,negative,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-08_F0002_T0139_Z0001_C04,1,D-08,2,CL561,T0139,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-05_F0002_T0031_Z0001_C01,1,C-05,2,Hoechst,T0031,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0001_T0049_Z0001_C04,1,E-08,1,CL561,T0049,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
C-05_F0001_T0031_Z0001_C02,1,C-05,1,CL488,T0031,Staurosporine,0.0,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-08_F0002_T0049_Z0001_C03,1,E-08,2,CL488-2,T0049,Staurosporine,41.2,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-06_F0002_T0079_Z0001_C03,1,D-06,2,CL488-2,T0079,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
E-07_F0002_T0067_Z0001_C04,1,E-07,2,CL561,T0067,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-06_F0001_T0079_Z0001_C04,1,D-06,1,CL561,T0079,Staurosporine,4.6,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
D-07_F0001_T0001_Z0001_C02,1,D-07,1,CL488,T0001,Staurosporine,13.7,,20230920ChromaLiveTL_24hr4ch_MaxIP/,Z0001
